Power,Fuel,Cost,Efficiency,Lifetime,Power Code
[433830.39884902],[0.],[2.33904971e+10],[433830.39884902],[10.],"(0, 1, 0, 0, 2, 1, 0)"
[433830.39884902],[0.],[1.81625968e+10],[433830.39884902],[10.],"(0, 1, 0, 0, 2, 1, 1)"
[433830.39884902],[0.],[1.59948551e+10],[433830.39884902],[10.],"(0, 1, 0, 0, 2, 1, 2)"
[433830.39884902],[0.],[2.20444174e+09],[433830.39884902],[10.],"(0, 1, 0, 0, 3, 0, 0)"
[433830.39884902],[0.],[2.8927335e+09],[433830.39884902],[10.],"(0, 1, 0, 0, 3, 0, 1)"
[433830.39884902],[0.],[3.82695135e+09],[433830.39884902],[10.],"(0, 1, 0, 0, 3, 0, 2)"
[433830.39884902],[0.],[2.12578399e+09],[433830.39884902],[10.],"(0, 1, 0, 0, 3, 1, 0)"
[433830.39884902],[0.],[2.82542733e+09],[433830.39884902],[10.],"(0, 1, 0, 0, 3, 1, 1)"
[433830.39884902],[0.],[3.76414044e+09],[433830.39884902],[10.],"(0, 1, 0, 0, 3, 1, 2)"
[433940.39884902],[0.],[7.98648767e+09],[433940.39884902],[10.],"(0, 1, 0, 1, 0, 0, 0)"
[433940.39884902],[0.],[6.97700932e+09],[433940.39884902],[10.],"(0, 1, 0, 1, 0, 0, 1)"
[433940.39884902],[0.],[7.00586102e+09],[433940.39884902],[10.],"(0, 1, 0, 1, 0, 0, 2)"
[433940.39884902],[0.],[7.33463244e+09],[433940.39884902],[10.],"(0, 1, 0, 1, 0, 1, 0)"
[433940.39884902],[0.],[6.50777448e+09],[433940.39884902],[10.],"(0, 1, 0, 1, 0, 1, 1)"
[433940.39884902],[0.],[6.63245359e+09],[433940.39884902],[10.],"(0, 1, 0, 1, 0, 1, 2)"
[433940.39884902],[0.],[2.72708442e+09],[433940.39884902],[10.],"(0, 1, 0, 1, 1, 0, 0)"
[433940.39884902],[0.],[3.52587651e+09],[433940.39884902],[10.],"(0, 1, 0, 1, 1, 0, 1)"
[433940.39884902],[0.],[4.50459807e+09],[433940.39884902],[10.],"(0, 1, 0, 1, 1, 0, 2)"
[433940.39884902],[0.],[2.60579105e+09],[433940.39884902],[10.],"(0, 1, 0, 1, 1, 1, 0)"
[433940.39884902],[0.],[3.40478764e+09],[433940.39884902],[10.],"(0, 1, 0, 1, 1, 1, 1)"
[433940.39884902],[0.],[4.383515e+09],[433940.39884902],[10.],"(0, 1, 0, 1, 1, 1, 2)"
[433940.39884902],[0.],[2.59550313e+10],[433940.39884902],[10.],"(0, 1, 0, 1, 2, 0, 0)"
[433940.39884902],[0.],[2.00507161e+10],[433940.39884902],[10.],"(0, 1, 0, 1, 2, 0, 1)"
[433940.39884902],[0.],[1.75299386e+10],[433940.39884902],[10.],"(0, 1, 0, 1, 2, 0, 2)"
[433940.39884902],[0.],[2.34904971e+10],[433940.39884902],[10.],"(0, 1, 0, 1, 2, 1, 0)"
[433940.39884902],[0.],[1.82625968e+10],[433940.39884902],[10.],"(0, 1, 0, 1, 2, 1, 1)"
[433940.39884902],[0.],[1.60948551e+10],[433940.39884902],[10.],"(0, 1, 0, 1, 2, 1, 2)"
[433940.39884902],[0.],[2.30444174e+09],[433940.39884902],[10.],"(0, 1, 0, 1, 3, 0, 0)"
[433940.39884902],[0.],[2.9927335e+09],[433940.39884902],[10.],"(0, 1, 0, 1, 3, 0, 1)"
[433940.39884902],[0.],[3.92695135e+09],[433940.39884902],[10.],"(0, 1, 0, 1, 3, 0, 2)"
[433940.39884902],[0.],[2.22578399e+09],[433940.39884902],[10.],"(0, 1, 0, 1, 3, 1, 0)"
