%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Airspeed Differential Pressure [Pa],Aux Differential Pressure [Pa],ELD Probe X axis [mm],ELD Probe Y axis [mm],Voltage [V]
72729.477,297.066,354.818,133.871,0.025,-0.010,5.000
72721.414,297.069,354.580,133.711,-0.007,-0.021,5.000
72729.477,297.066,354.818,133.551,-0.007,-0.010,5.000
72721.414,297.066,354.739,134.031,-0.007,0.011,5.000
72721.414,297.066,354.659,133.871,-0.007,0.001,5.000
72717.383,297.065,354.739,133.871,0.025,-0.010,5.000
72721.414,297.068,354.659,134.031,-0.007,0.001,5.000
72721.414,297.068,354.659,133.871,-0.007,0.011,5.000
72721.414,297.068,354.818,134.351,-0.007,0.011,5.000
72721.414,297.068,354.739,133.871,-0.007,0.001,5.000
72717.383,297.065,354.659,134.191,-0.007,0.001,5.000
72717.383,297.068,354.659,134.191,-0.007,0.022,5.000
72717.383,297.065,354.739,134.351,0.009,0.001,5.000
72721.414,297.068,354.659,134.191,0.009,-0.010,5.000
72725.445,297.068,354.659,134.351,0.009,0.001,5.000
72721.414,297.068,354.659,134.351,0.009,0.001,5.000
72713.351,297.066,354.739,134.191,-0.007,0.011,5.000
72717.383,297.066,354.818,134.351,-0.007,0.001,5.000
72717.383,297.065,354.739,134.031,-0.024,-0.010,5.000
72709.320,297.065,354.659,134.672,-0.007,-0.010,5.000
72717.383,297.065,354.739,134.351,0.009,0.011,5.000
72709.320,297.066,354.739,134.351,-0.007,0.011,5.000
72717.383,297.065,354.580,134.191,-0.007,0.001,5.000
72713.351,297.065,354.739,134.351,0.009,0.001,5.000
72721.414,297.065,354.818,134.351,0.009,-0.010,5.000
72713.351,297.065,354.818,134.191,-0.007,0.001,5.000
72717.383,297.065,354.739,134.191,-0.007,0.022,5.000
72717.383,297.065,354.739,134.031,-0.007,-0.010,5.000
72717.383,297.063,354.897,134.031,0.009,0.011,5.000
72721.414,297.061,354.897,134.191,0.009,0.001,5.000
72717.383,297.065,355.055,134.191,-0.024,-0.021,5.000
72717.383,297.061,354.976,133.871,0.009,-0.010,5.000
72725.445,297.061,354.976,133.871,0.009,0.001,5.000
72721.414,297.060,354.818,133.711,-0.024,0.011,5.000
72725.445,297.061,354.818,133.711,-0.024,0.001,5.000
72721.414,297.063,354.976,133.391,0.009,0.011,5.000
72721.414,297.061,354.897,133.391,-0.007,0.022,5.000
72717.383,297.061,354.976,133.391,-0.007,0.001,5.000
72717.383,297.060,355.134,133.391,0.009,-0.010,5.000
72725.445,297.061,354.976,133.231,-0.007,0.001,5.000
72721.414,297.060,354.976,133.231,-0.007,0.001,5.000
72725.445,297.065,355.055,132.910,-0.007,0.001,5.000
72725.445,297.061,355.055,132.910,-0.007,-0.010,5.000
72725.445,297.061,355.055,132.590,-0.024,0.011,5.000
72729.477,297.061,355.055,132.750,0.025,-0.021,5.000
72725.445,297.061,354.976,132.750,-0.024,0.001,5.000
72725.445,297.063,355.055,132.430,0.009,0.001,5.000
